Year,Yearly,Cumulative,Category
2014,9645,105375,Total
2013,9373,95730,Total
2012,8787,86357,Total
2011,7955,77570,Total
2010,7772,69615,Total
2009,7297,61843,Total
2008,6911,54546,Total
2007,7147,47635,Total
2006,6422,40488,Total
2005,5348,34066,Total
2004,5152,28718,Total
2003,4153,23566,Total
2002,2999,19413,Total
2001,2823,16414,Total
2000,2627,13591,Total
1999,2356,10964,Total
1998,2058,8608,Total
1997,1565,6550,Total
1996,1173,4985,Total
1995,941,3812,Total
1994,1289,2871,Total
1993,696,1582,Total
1992,192,886,Total
1991,187,694,Total
1990,142,507,Total
1989,74,365,Total
1988,53,291,Total
1987,25,238,Total
1986,18,213,Total
1985,20,195,Total
1984,22,175,Total
1983,36,153,Total
1982,32,117,Total
1981,16,85,Total
1980,16,69,Total
1979,11,53,Total
1978,6,42,Total
1977,23,36,Total
1976,13,13,Total
2014,8893,93663,X-Ray
2013,8743,84770,X-Ray
2012,8179,76027,X-Ray
2011,7372,67848,X-Ray
2010,7189,60476,X-Ray
2009,6671,53287,X-Ray
2008,6206,46616,X-Ray
2007,6154,40410,X-Ray
2006,5523,34256,X-Ray
2005,4438,28733,X-Ray
2004,4397,24295,X-Ray
2003,3592,19898,X-Ray
2002,2530,16306,X-Ray
2001,2387,13776,X-Ray
2000,2234,11389,X-Ray
1999,1960,9155,X-Ray
1998,1724,7195,X-Ray
1997,1234,5471,X-Ray
1996,981,4237,X-Ray
1995,748,3256,X-Ray
1994,1057,2508,X-Ray
1993,622,1451,X-Ray
1992,181,829,X-Ray
1991,162,648,X-Ray
1990,135,486,X-Ray
1989,71,351,X-Ray
1988,52,280,X-Ray
1987,25,228,X-Ray
1986,17,203,X-Ray
1985,20,186,X-Ray
1984,22,166,X-Ray
1983,36,144,X-Ray
1982,32,108,X-Ray
1981,16,76,X-Ray
1980,7,60,X-Ray
1979,11,53,X-Ray
1978,6,42,X-Ray
1977,23,36,X-Ray
1976,13,13,X-Ray
2014,191,717,Electron Microscopy
2013,118,526,Electron Microscopy
2012,65,408,Electron Microscopy
2011,53,343,Electron Microscopy
2010,54,290,Electron Microscopy
2009,40,236,Electron Microscopy
2008,41,196,Electron Microscopy
2007,19,155,Electron Microscopy
2006,26,136,Electron Microscopy
2005,23,110,Electron Microscopy
2004,12,87,Electron Microscopy
2003,29,75,Electron Microscopy
2002,24,46,Electron Microscopy
2001,9,22,Electron Microscopy
2000,11,13,Electron Microscopy
1999,1,2,Electron Microscopy
1998,0,1,Electron Microscopy
1997,1,1,Electron Microscopy
2014,554,10817,NMR
2013,506,10263,NMR
2012,537,9757,NMR
2011,523,9220,NMR
2010,521,8697,NMR
2009,567,8176,NMR
2008,653,7609,NMR
2007,965,6956,NMR
2006,861,5991,NMR
2005,876,5130,NMR
2004,729,4254,NMR
2003,531,3525,NMR
2002,441,2994,NMR
2001,414,2553,NMR
2000,371,2139,NMR
1999,390,1768,NMR
1998,331,1378,NMR
1997,329,1047,NMR
1996,188,718,NMR
1995,190,530,NMR
1994,222,340,NMR
1993,74,118,NMR
1992,11,44,NMR
1991,23,33,NMR
1990,7,10,NMR
1989,2,3,NMR
1988,0,1,NMR
1987,0,1,NMR
1986,1,1,NMR