Percentile,2012to13
1,8320
2,8570
3,8820
4,9060
5,9300
6,9550
7,9800
8,10000
9,10300
10,10500
11,10700
12,10900
13,11100
14,11200
15,11400
16,11600
17,11800
18,11900
19,12100
20,12300
21,12500
22,12600
23,12800
24,13000
25,13200
26,13400
27,13600
28,13800
29,13900
30,14100
31,14300
32,14500
33,14700
34,14900
35,15100
36,15400
37,15600
38,15800
39,16000
40,16200
41,16400
42,16700
43,16900
44,17100
45,17400
46,17600
47,17900
48,18100
49,18400
50,18700
51,18900
52,19200
53,19500
54,19800
55,20100
56,20400
57,20700
58,21000
59,21300
60,21700
61,22000
62,22400
63,22700
64,23100
65,23500
66,23900
67,24300
68,24700
69,25200
70,25600
71,26100
72,26600
73,27100
74,27700
75,28200
76,28800
77,29400
78,30000
79,30700
80,31400
81,32200
82,33000
83,33800
84,34700
85,35700
86,36600
87,37600
88,38600
89,39500
90,40700
91,42200
92,43900
93,46000
94,48800
95,52500
96,57500
97,65100
98,75700
99,101000