Percentile,1999to00,2000to01,2001to02,2002to03,2003to04,2004to05,2005to06,2006to07,2007to08,2009to10,2010to11,2011to12,2012to13
1,4570,4600,4760,4840,4800,4950,5170,5370,5570,6740,6690,7690,8320
2,4800,4800,5000,5070,5020,5200,5450,5660,5860,6980,6910,7910,8570
3,5010,4990,5250,5330,5260,5450,5710,5930,6150,7210,7120,8140,8820
4,5260,5200,5490,5570,5500,5700,5960,6190,6430,7460,7350,8360,9060
5,5500,5410,5730,5830,5730,5940,6210,6450,6710,7690,7580,8600,9300
6,5740,5610,5970,6070,5960,6190,6470,6710,7000,7940,7810,8840,9550
7,5890,5810,6180,6280,6190,6440,6720,6970,7270,8190,8060,9080,9800
8,6060,5980,6340,6450,6420,6660,6950,7190,7500,8440,8300,9330,10000
9,6210,6130,6490,6600,6630,6880,7160,7420,7730,8680,8550,9580,10300
10,6340,6270,6650,6760,6790,7040,7340,7610,7940,8940,8800,9830,10500
11,6470,6400,6810,6920,6950,7200,7520,7780,8130,9180,9060,10000,10700
12,6610,6550,6970,7080,7100,7360,7690,7960,8330,9430,9310,10200,10900
13,6770,6700,7130,7250,7260,7510,7860,8130,8520,9650,9550,10400,11100
14,6890,6850,7300,7420,7430,7670,8030,8310,8710,9840,9740,10600,11200
15,7050,6990,7470,7590,7590,7830,8190,8490,8900,10000,9920,10700,11400
16,7190,7130,7640,7760,7760,7990,8370,8660,9100,10200,10100,10900,11600
17,7320,7270,7810,7930,7930,8150,8540,8850,9290,10400,10300,11100,11800
18,7470,7430,7970,8100,8100,8310,8720,9020,9480,10600,10500,11300,11900
19,7620,7580,8140,8260,8270,8480,8880,9210,9670,10800,10600,11400,12100
20,7760,7740,8300,8410,8430,8640,9070,9380,9860,10900,10800,11600,12300
21,7910,7880,8460,8580,8600,8800,9240,9560,10000,11100,11000,11800,12500
22,8060,8040,8630,8740,8770,8970,9410,9750,10200,11300,11200,12000,12600
23,8200,8200,8790,8900,8940,9130,9580,9920,10400,11500,11300,12200,12800
24,8350,8350,8960,9070,9110,9300,9750,10100,10600,11700,11500,12300,13000
25,8490,8510,9120,9230,9290,9470,9930,10300,10800,11800,11700,12500,13200
26,8650,8670,9290,9400,9460,9650,10100,10500,11000,12000,11900,12700,13400
27,8790,8840,9470,9580,9650,9830,10300,10600,11200,12200,12100,12900,13600
28,8950,9010,9640,9760,9830,10000,10500,10800,11400,12400,12300,13100,13800
29,9090,9180,9820,9940,10000,10200,10700,11000,11600,12600,12500,13300,13900
30,9230,9340,9990,10100,10200,10400,10800,11200,11800,12800,12700,13500,14100
31,9390,9510,10200,10300,10400,10600,11000,11400,11900,13000,12900,13700,14300
32,9550,9670,10300,10500,10600,10700,11200,11600,12100,13200,13100,13900,14500
33,9720,9850,10500,10600,10700,10900,11400,11800,12300,13400,13300,14100,14700
34,9850,10000,10700,10800,10900,11100,11600,12000,12500,13600,13500,14300,14900
35,10000,10200,10800,11000,11100,11300,11800,12200,12700,13800,13700,14500,15100
36,10200,10400,11000,11100,11300,11500,11900,12400,12900,14000,13900,14700,15400
37,10300,10500,11200,11300,11400,11700,12100,12600,13100,14200,14100,14900,15600
38,10500,10700,11300,11500,11600,11800,12300,12800,13300,14500,14300,15200,15800
39,10600,10900,11500,11700,11800,12000,12500,13000,13600,14700,14500,15400,16000
40,10800,11000,11700,11900,12000,12200,12700,13200,13800,14900,14700,15600,16200
41,11000,11200,11900,12100,12200,12400,12900,13400,14000,15100,15000,15800,16400
42,11100,11400,12100,12300,12400,12600,13100,13600,14200,15300,15200,16000,16700
43,11300,11500,12300,12500,12600,12800,13300,13800,14400,15500,15400,16300,16900
44,11500,11700,12400,12600,12800,13000,13500,14000,14700,15700,15600,16500,17100
45,11600,11900,12600,12800,13000,13300,13800,14200,14900,16000,15900,16700,17400
46,11800,12100,12800,13000,13100,13500,14000,14500,15100,16200,16100,17000,17600
47,12000,12300,13000,13200,13300,13700,14200,14700,15400,16400,16300,17200,17900
48,12200,12500,13200,13400,13600,13900,14500,14900,15600,16700,16600,17400,18100
49,12300,12700,13400,13600,13800,14100,14700,15200,15800,16900,16800,17700,18400
50,12500,12900,13600,13800,14000,14400,14900,15400,16100,17200,17100,18000,18700
51,12700,13100,13800,14000,14200,14600,15200,15600,16300,17400,17300,18200,18900
52,12900,13300,14000,14300,14400,14800,15400,15900,16600,17700,17600,18500,19200
53,13100,13500,14200,14500,14600,15100,15600,16100,16800,18000,17900,18800,19500
54,13300,13700,14500,14700,14900,15300,15900,16400,17100,18200,18100,19100,19800
55,13500,13900,14700,14900,15100,15500,16100,16700,17300,18500,18400,19400,20100
56,13700,14100,14900,15200,15300,15800,16400,16900,17600,18800,18700,19700,20400
57,13900,14400,15100,15400,15600,16100,16600,17200,17900,19100,19100,20000,20700
58,14200,14600,15400,15600,15800,16300,16900,17500,18200,19500,19400,20300,21000
59,14400,14800,15600,15900,16100,16600,17200,17700,18500,19800,19700,20600,21300
60,14600,15100,15800,16200,16300,16800,17500,18000,18800,20100,20000,21000,21700
61,14800,15300,16100,16400,16600,17100,17800,18400,19200,20400,20400,21300,22000
62,15100,15500,16400,16700,16800,17400,18100,18700,19500,20700,20700,21600,22400
63,15300,15800,16600,16900,17100,17700,18400,19000,19800,21100,21000,22000,22700
64,15500,16000,16900,17200,17400,18000,18700,19300,20100,21400,21400,22400,23100
65,15800,16300,17200,17500,17700,18300,19100,19700,20500,21800,21700,22800,23500
66,16000,16500,17500,17800,18000,18600,19400,20000,20800,22100,22100,23200,23900
67,16300,16800,17800,18100,18300,18900,19700,20400,21200,22600,22500,23600,24300
68,16600,17100,18100,18400,18600,19300,20100,20700,21600,23000,23000,24000,24700
69,16900,17400,18400,18700,18900,19600,20400,21100,22000,23400,23400,24400,25200
70,17100,17700,18700,19100,19200,19900,20800,21500,22400,23900,23900,24900,25600
71,17400,18000,19100,19400,19600,20300,21200,21900,22900,24300,24300,25400,26100
72,17700,18300,19400,19800,20000,20700,21600,22400,23300,24800,24800,25900,26600
73,18100,18700,19800,20100,20300,21100,22100,22900,23800,25300,25200,26400,27100
74,18500,19100,20200,20500,20700,21500,22600,23300,24300,25800,25700,26900,27700
75,18800,19400,20600,20900,21100,22000,23100,23800,24800,26300,26300,27500,28200
76,19200,19800,21000,21300,21500,22500,23600,24300,25300,26900,26800,28100,28800
77,19600,20200,21400,21700,21900,23000,24100,24800,25800,27500,27500,28700,29400
78,20000,20600,21900,22200,22400,23500,24600,25300,26400,28100,28100,29300,30000
79,20400,21000,22300,22600,22900,24000,25100,25900,27100,28700,28800,30000,30700
80,20900,21500,22800,23100,23300,24500,25700,26500,27700,29400,29500,30700,31400
81,21300,21900,23300,23600,23800,25100,26300,27200,28400,30100,30200,31500,32200
82,21700,22500,23900,24200,24400,25700,27000,27900,29100,30900,30900,32300,33000
83,22300,23000,24500,24800,25000,26300,27700,28600,29900,31700,31700,33100,33800
84,22800,23600,25100,25400,25600,27000,28500,29400,30700,32600,32500,34000,34700
85,23400,24200,25700,26100,26300,27700,29200,30200,31600,33500,33400,35000,35700
86,24000,24900,26500,26800,27000,28500,30100,31200,32500,34500,34400,36000,36600
87,24700,25600,27300,27600,27800,29400,31000,32100,33500,35600,35500,36900,37600
88,25500,26400,28100,28500,28700,30200,31900,33100,34500,36700,36600,37900,38600
89,26300,27300,29000,29400,29700,31200,32900,34000,35500,37900,37800,38900,39500
90,27300,28400,30000,30400,30700,32100,33900,35000,36600,39200,39000,40000,40700
91,28300,29400,31000,31400,31800,33200,35100,36300,37900,40400,40200,41500,42200
92,29500,30600,32200,32600,33000,34400,36500,37800,39500,41900,41600,43200,43900
93,30900,32100,33700,34100,34600,35900,38200,39600,41300,43700,43400,45300,46000
94,32600,33900,35500,35900,36500,37800,40400,41800,43600,46000,45800,48000,48800
95,34800,36200,38000,38400,39000,40500,43100,44800,46800,49300,49000,51500,52500
96,37900,39500,41400,41700,42500,44000,47100,49000,51400,54100,53500,56500,57500
97,42400,44200,46400,46800,47800,49300,53200,55800,58700,61100,60100,63600,65100
98,50000,52300,54900,55300,56600,58800,64400,67600,71400,73900,71100,74500,75700
99,67500,71000,74300,75000,77000,81500,91100,97400,103000,105000,96200,100000,101000