Month,Cases,Year,Season
Jan,200,2000,1999/2000
Feb,370,2000,1999/2000
Mar,289,2000,1999/2000
Apr,277,2000,1999/2000
May,154,2000,1999/2000
Jun,103,2000,1999/2000
Jul,72,2000,1999/2000
Aug,70,2000,2000/2001
Sep,45,2000,2000/2001
Oct,84,2000,2000/2001
Nov,156,2000,2000/2001
Dec,102,2000,2000/2001
Jan,162,2001,2000/2001
Feb,195,2001,2000/2001
Mar,343,2001,2000/2001
Apr,179,2001,2000/2001
May,127,2001,2000/2001
Jun,69,2001,2000/2001
Jul,50,2001,2000/2001
Aug,82,2001,2001/2002
Sep,56,2001,2001/2002
Oct,83,2001,2001/2002
Nov,132,2001,2001/2002
Dec,267,2001,2001/2002
Jan,446,2002,2001/2002
Feb,103,2002,2001/2002
Mar,137,2002,2001/2002
Apr,144,2002,2001/2002
May,276,2002,2001/2002
Jun,259,2002,2001/2002
Jul,431,2002,2001/2002
Aug,282,2002,2002/2003
Sep,357,2002,2002/2003
Oct,820,2002,2002/2003
Nov,419,2002,2002/2003
Dec,634,2002,2002/2003
Jan,464,2003,2002/2003
Feb,449,2003,2002/2003
Mar,424,2003,2002/2003
Apr,357,2003,2002/2003
May,127,2003,2002/2003
Jun,69,2003,2002/2003
Jul,43,2003,2002/2003
Aug,47,2003,2003/2004
Sep,72,2003,2003/2004
Oct,141,2003,2003/2004
Nov,83,2003,2003/2004
Dec,51,2003,2003/2004
Jan,99,2004,2003/2004
Feb,166,2004,2003/2004
Mar,386,2004,2003/2004
Apr,313,2004,2003/2004
May,232,2004,2003/2004
Jun,205,2004,2003/2004
Jul,236,2004,2003/2004
Aug,73,2004,2004/2005
Sep,72,2004,2004/2005
Oct,198,2004,2004/2005
Nov,451,2004,2004/2005
Dec,702,2004,2004/2005
Jan,754,2005,2004/2005
Feb,449,2005,2004/2005
Mar,535,2005,2004/2005
Apr,271,2005,2004/2005
May,164,2005,2004/2005
Jun,75,2005,2004/2005
Jul,28,2005,2004/2005
Aug,36,2005,2005/2006
Sep,45,2005,2005/2006
Oct,79,2005,2005/2006
Nov,106,2005,2005/2006
Dec,380,2005,2005/2006
Jan,585,2006,2005/2006
Feb,783,2006,2005/2006
Mar,984,2006,2005/2006
Apr,469,2006,2005/2006
May,302,2006,2005/2006
Jun,217,2006,2005/2006
Jul,105,2006,2005/2006
Aug,131,2006,2006/2007
Sep,120,2006,2006/2007
Oct,121,2006,2006/2007
Nov,372,2006,2006/2007
Dec,422,2006,2006/2007
Jan,801,2007,2006/2007
Feb,855,2007,2006/2007
Mar,699,2007,2006/2007
Apr,618,2007,2006/2007
May,278,2007,2006/2007
Jun,69,2007,2006/2007
Jul,94,2007,2006/2007
Aug,124,2007,2007/2008
Sep,243,2007,2007/2008
Oct,397,2007,2007/2008
Nov,774,2007,2007/2008
Dec,1057,2007,2007/2008
Jan,1088,2008,2007/2008
Feb,701,2008,2007/2008
Mar,749,2008,2007/2008
Apr,719,2008,2007/2008
May,354,2008,2007/2008
Jun,168,2008,2007/2008
Jul,166,2008,2007/2008
Aug,96,2008,2008/2009
Sep,239,2008,2008/2009
Oct,436,2008,2008/2009
Nov,756,2008,2008/2009
Dec,1356,2008,2008/2009
Jan,1681,2009,2008/2009
Feb,1209,2009,2008/2009
Mar,969,2009,2008/2009
Apr,562,2009,2008/2009
May,268,2009,2008/2009
Jun,250,2009,2008/2009
Jul,183,2009,2008/2009
Aug,135,2009,2009/2010
Sep,180,2009,2009/2010
Oct,338,2009,2009/2010
Nov,695,2009,2009/2010
Dec,1246,2009,2009/2010
Jan,2626,2010,2009/2010
Feb,2520,2010,2009/2010
Mar,2582,2010,2009/2010
Apr,1091,2010,2009/2010
May,732,2010,2009/2010
Jun,265,2010,2009/2010
Jul,133,2010,2009/2010
Aug,139,2010,2010/2011
Sep,142,2010,2010/2011
Oct,189,2010,2010/2011
Nov,451,2010,2010/2011
Dec,906,2010,2010/2011
Jan,1074,2011,2010/2011
Feb,1297,2011,2010/2011
Mar,1578,2011,2010/2011
Apr,898,2011,2010/2011
May,698,2011,2010/2011
Jun,481,2011,2010/2011
Jul,345,2011,2010/2011
Aug,179,2011,2011/2012
Sep,182,2011,2011/2012
Oct,292,2011,2011/2012
Nov,497,2011,2011/2012
Dec,1027,2011,2011/2012
Jan,1366,2012,2011/2012
Feb,1946,2012,2011/2012
Mar,1112,2012,2011/2012
Apr,1022,2012,2011/2012
May,758,2012,2011/2012
Jun,380,2012,2011/2012
Jul,247,2012,2011/2012
Aug,142,2012,2012/2013
Sep,231,2012,2012/2013
Oct,737,2012,2012/2013
Nov,1336,2012,2012/2013
Dec,1568,2012,2012/2013